level,attempt,start_seconds,last_hud_seconds,initial_balls,remaining_balls,shots_used,outcome,layout,observed,interpretation,card
"1","1","3.75","12.25","20","15","5","win","Стена из банок","Первый удар в среднюю часть вынимает локальную группу; верхние банки проседают, боковые столбцы остаются. Нужна зачистка.","Локальный импульс, устойчивые остатки, повторные попадания.","../../../../../tmp/research/smash-fest-physics-2026-09-10/levels/01-a1-card.jpg"
"2","1","16.25","26.75","20","13","7","win","Пирамида из банок","Ступенчатый силуэт; автор разбирает ее несколькими попаданиями, затем добивает низ.","Смена силуэта при прежнем материале; не гарантированный one-shot.","../../../../../tmp/research/smash-fest-physics-2026-09-10/levels/02-a1-card.jpg"
"3","1","31.25","38.25","20","17","3","win","Двухэтажная рама с четырьмя окнами","Стойки несут горизонтальные детали. Потеря опор быстро обрушает крупные участки.","Перемычки дают больше результата за выстрел, чем плотная стена.","../../../../../tmp/research/smash-fest-physics-2026-09-10/levels/03-a1-card.jpg"
"4","1","42.25","55.75","20","16","4","win","Две стены на отдельных столиках","Автор последовательно очищает левую и правую группу.","Независимые острова, перенос прицела; широкий экранный охват.","../../../../../tmp/research/smash-fest-physics-2026-09-10/levels/04-a1-card.jpg"
"5","1","59.75","80.75","20","11","9","win","Замок из банок","Боковые башни с перемычками и центральная секция; после каскада остаются предметы вдоль основания.","Знакомый материал, разные опорные схемы в одном уровне.","../../../../../tmp/research/smash-fest-physics-2026-09-10/levels/05-a1-card.jpg"
"6","1","86.75","98.25","20","15","5","win","Стена из деревянных ящиков","Новый вид материала в простой прямоугольной раскладке; ящики распадаются после падения вниз.","Показ нового материала на знакомой форме.","../../../../../tmp/research/smash-fest-physics-2026-09-10/levels/06-a1-card.jpg"
"7","1","102.25","120.25","20","11","9","win","Ящики снизу, банки сверху","Разрушение нижних рядов снижает верхнюю часть; финальные нижние ящики требуют отдельных попаданий.","Смешение материалов; длительность зачистки.","../../../../../tmp/research/smash-fest-physics-2026-09-10/levels/07-a1-card.jpg"
"8","1","124.25","143.75","20","10","10","win","Мозаика из ящиков и банок","Крупные участки двух материалов чередуются; стена разбирается по частям.","Перестановка материала при общей форме стены.","../../../../../tmp/research/smash-fest-physics-2026-09-10/levels/08-a1-card.jpg"
"9","1","147.75","166.75","20","10","10","win","Три деревянные секции на стойках","Длинные поперечины и узкие стойки формируют окна; вертикальные остатки не исчезают автоматически.","Длинная деталь как отдельный элемент; вращение и рычаг.","../../../../../tmp/research/smash-fest-physics-2026-09-10/levels/09-a1-card.jpg"
"10","1","170.75","193.25","20","10","10","win","Концентрические квадраты","Чередующиеся кольца банок и ящиков дают узнаваемый орнамент; игрок постепенно снимает секции.","Визуальное разнообразие из малого набора деталей.","../../../../../tmp/research/smash-fest-physics-2026-09-10/levels/10-a1-card.jpg"
